Versao,Imagem,N_Threads,Repeticao,Tempo_IO_ms,Tempo_Comp_ms,Contador_Final
tiling_dynamic,testes/xadrez_8192.pgm,4,1,40.855,15.297,33554432
tiling_dynamic,testes/xadrez_8192.pgm,4,2,40.478,14.699,33554432
tiling_dynamic,testes/xadrez_8192.pgm,4,3,40.411,14.815,33554432
tiling_dynamic,testes/xadrez_8192.pgm,8,1,40.794,8.671,33554432
tiling_dynamic,testes/xadrez_8192.pgm,8,2,40.548,8.586,33554432
tiling_dynamic,testes/xadrez_8192.pgm,8,3,40.684,8.393,33554432
tiling_dynamic,testes/xadrez_8192.pgm,12,1,41.198,6.768,33554432
tiling_dynamic,testes/xadrez_8192.pgm,12,2,40.859,6.754,33554432
tiling_dynamic,testes/xadrez_8192.pgm,12,3,40.850,6.699,33554432
tiling_dynamic,testes/xadrez_8192.pgm,16,1,41.025,6.859,33554432
tiling_dynamic,testes/xadrez_8192.pgm,16,2,40.677,6.699,33554432
tiling_dynamic,testes/xadrez_8192.pgm,16,3,41.063,6.728,33554432
tiling_dynamic,testes/metade_4096.pgm,1,1,10.754,10.800,12582912
tiling_dynamic,testes/metade_4096.pgm,1,2,10.422,10.635,12582912
tiling_dynamic,testes/metade_4096.pgm,1,3,10.517,10.235,12582912
tiling_dynamic,testes/metade_4096.pgm,2,1,10.901,6.364,12582912
tiling_dynamic,testes/metade_4096.pgm,2,2,10.421,6.412,12582912
tiling_dynamic,testes/metade_4096.pgm,2,3,10.396,7.053,12582912
tiling_dynamic,testes/metade_4096.pgm,4,1,10.873,4.210,12582912
tiling_dynamic,testes/metade_4096.pgm,4,2,10.437,4.100,12582912
tiling_dynamic,testes/metade_4096.pgm,4,3,10.315,4.093,12582912
tiling_dynamic,testes/metade_4096.pgm,8,1,10.814,2.705,12582912
tiling_dynamic,testes/metade_4096.pgm,8,2,10.326,2.997,12582912
tiling_dynamic,testes/metade_4096.pgm,8,3,10.301,2.736,12582912
tiling_dynamic,testes/metade_4096.pgm,12,1,10.864,2.534,12582912
tiling_dynamic,testes/metade_4096.pgm,12,2,10.476,2.471,12582912
tiling_dynamic,testes/metade_4096.pgm,12,3,10.504,2.454,12582912
tiling_dynamic,testes/metade_4096.pgm,16,1,10.777,2.534,12582912
tiling_dynamic,testes/metade_4096.pgm,16,2,10.623,2.679,12582912
tiling_dynamic,testes/metade_4096.pgm,16,3,10.594,2.461,12582912
